network, highestPlatform,lowestPlatform,baseToken,flashFee,amountIn,amountAfterTrade1,amountAfterTrade2,amountOut,profit
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.188757044468,1.000719075814364,1.000719075814364,0.0007190758143640341
optimism,sushiswap_v3,uniswap_v3,wETH,0,1,885.597076169846,1.0028426156701777,1.0028426156701777,0.0028426156701777394
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3490.866392433371,1.0001941543670196,1.0001941543670196,0.00019415436701963884
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3494.78576193986,1.0013171221430686,1.0013171221430686,0.001317122143068561
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3492.209798949291,1.0005790637829384,1.0005790637829384,0.0005790637829383716
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3493.3789163135866,1.0009140363147064,1.0009140363147064,0.0009140363147064345
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3492.209798949291,1.000396930337477,1.000396930337477,0.0003969303374768973
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3492.1842824136093,1.0003896207354088,1.0003896207354088,0.00038962073540882436
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3491.981652173868,1.0003315742028402,1.0003315742028402,0.00033157420284024575
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3492.0359085897003,1.0003471167833193,1.0003471167833193,0.0003471167833193345
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3491.3376190338727,1.0001470810556987,1.0001470810556987,0.00014708105569871677
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.824184927495,1.0001375254538198,1.0001375254538198,0.00013752545381984227
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.824184927495,1.0002997185673967,1.0002997185673967,0.00029971856739674507
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.824184927495,1.0003688016194026,1.0003688016194026,0.00036880161940255896
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.824184927495,1.0001653195130884,1.0001653195130884,0.0001653195130884022
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.824184927495,1.0001434320560822,1.0001434320560822,0.00014343205608224885
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3491.747473857545,1.0002644902410258,1.0002644902410258,0.00026449024102581653
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3491.193066681856,1.0001056718227042,1.0001056718227042,0.00010567182270415643
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3491.873484215621,1.0003005878361495,1.0003005878361495,0.0003005878361495018
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3491.873484215621,1.0001733320070854,1.0001733320070854,0.00017333200708535834
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3493.615217726817,1.0006722147464617,1.0006722147464617,0.0006722147464617301
polygon,uniswap_v3,quickswap_v3,wETH,0,1,3492.9476941265493,1.0004810167243998,1.0004810167243998,0.0004810167243998187
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3491.2683356677258,1.0001603204422673,1.0001603204422673,0.00016032044226732545
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3491.2683356677258,1.0002427727686207,1.0002427727686207,0.00024277276862072483
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3491.2683356677258,1.0004395283448526,1.0004395283448526,0.0004395283448526133
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3491.2683356677258,1.0007360557445728,1.0007360557445728,0.0007360557445728055
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3491.2683356677258,1.0007752225555795,1.0007752225555795,0.0007752225555794912
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.484317504228,1.0005504830407028,1.0005504830407028,0.0005504830407028205
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.4180147546153,1.0005314772976261,1.0005314772976261,0.0005314772976261484
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.4180147546153,1.0013745880154457,1.0013745880154457,0.0013745880154456547
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3490.4180147546153,1.0017838137035429,1.0017838137035429,0.001783813703542858
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3488.5924931764675,1.0012598713101606,1.0012598713101606,0.0012598713101605874
polygon,quickswap_v3,uniswap_v3,wETH,0,1,3488.304074759351,1.001177092427912,1.001177092427912,0.0011770924279119743
optimism,sushiswap_v3,uniswap_v3,wETH,0,1,885.597076169846,1.0029808562112328,1.0029808562112328,0.002980856211232785
